logical_position_id,book_id,book_name,strategy_id,family_id,direction,entry_time,exit_time,entry_price,exit_price,logical_volume,initial_risk_price,realized_r,exit_policy,exit_reason,hour,session,day_of_week,month,split,holding_time_hours,holding_time_decile,stop_distance_points,stop_distance_decile,cost_to_risk_ratio,cost_to_risk_decile,simultaneous_exposure,regime_direction,regime_strength,regime_volatility,regime_alignment,regime_phase
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741108200|1741108500,2,SweepReclaim_2R,1050,4,SHORT,2025.03.05 03:15:00,2025.03.05 04:19:58,2908.14,2913.57,0.46,5.430000000000291,-1.0,2,BROKER_SL_TP_OR_TEST_END,3,ASIAN,Wednesday,2025-03,development,1.0827777777777778,6,5.43,4,0.00368,5,SOLO,BEARISH,NORMAL,NORMAL,PARTIALLY_ALIGNED,UNCLASSIFIED
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741168500|1741168500,2,SweepReclaim_2R,1050,4,SHORT,2025.03.05 11:25:00,2025.03.05 12:59:58,2916.33,2909.45,0.72,3.4400000000000546,2.0,2,BROKER_SL_TP_OR_TEST_END,11,LONDON,Wednesday,2025-03,development,1.5827777777777778,6,3.44,2,0.0057745518707142,7,SOLO,BEARISH,WEAK,NORMAL,FULLY_ALIGNED,TREND_CONTINUATION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741177200|1741177200,2,SweepReclaim_2R,1050,4,LONG,2025.03.05 13:20:00,2025.03.05 13:29:58,2914.84,2913.82,2.45,1.0199999999999818,-1.0,2,BROKER_SL_TP_OR_TEST_END,13,LONDON,Wednesday,2025-03,development,0.1661111111111111,2,1.02,1,0.01955229240652807,9,SOLO,BEARISH,WEAK,NORMAL,OPPOSED,UNCLASSIFIED
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200,1,FastMedConfluence_E3R,1010,1,SHORT,2025.03.05 15:50:00,2025.03.05 16:44:57,2896.23,2917.24,0.11,21.009999999999764,-1.0,1,BROKER_SL_TP_OR_TEST_END,15,LONDON,Wednesday,2025-03,development,0.9158333333333334,5,21.01,8,0.0008801056126735208,2,SOLO,BEARISH,NORMAL,EXPANDING,OPPOSED,UNCLASSIFIED
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500,1,FastMedConfluence_E3R,1010,1,LONG,2025.03.05 17:10:00,2025.03.05 19:05:00,2918.04,2922.8499999999995,0.22,10.980000000000018,0.4380692167576942,1,OWN_FAMILY_OPPOSITE,17,NEWYORK,Wednesday,2025-03,development,1.9166666666666667,7,10.98,6,0.0017643049039656764,3,SOLO,BEARISH,WEAK,EXPANDING,OPPOSED,UNCLASSIFIED
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741200900|1741200900,2,SweepReclaim_2R,1050,4,LONG,2025.03.05 22:55:00,2025.03.05 23:04:58,2922.93,2921.38,1.6099999999999999,1.5499999999997272,-1.0,2,BROKER_SL_TP_OR_TEST_END,22,NEWYORK,Wednesday,2025-03,development,0.1661111111111111,2,1.55,1,0.012898057280192268,9,CONCURRENT,BEARISH,NORMAL,CONTRACTING,OPPOSED,UNCLASSIFIED
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900,1,FastMedConfluence_E3R,1010,1,SHORT,2025.03.05 19:05:00,2025.03.06 11:04:58,2922.85,2901.19,0.34,7.220000000000255,2.999999999999874,1,BROKER_SL_TP_OR_TEST_END,19,NEWYORK,Wednesday,2025-03,development,15.999444444444444,9,7.22,5,0.034046302972041975,10,SOLO,BEARISH,WEAK,EXPANDING,OPPOSED,PULLBACK
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741640400|1741640400,2,SweepReclaim_2R,1050,4,LONG,2025.03.11 06:15:00,2025.03.11 06:59:57,2894.13,2899.69,0.9,2.7800000000002,1.9999999999998364,2,BROKER_SL_TP_OR_TEST_END,6,ASIAN,Tuesday,2025-03,development,0.7491666666666666,5,2.78,2,0.007174744897959184,7,SOLO,BULLISH,WEAK,NORMAL,FULLY_ALIGNED,TREND_CONTINUATION
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000,1,FastMedConfluence_E3R,1010,1,LONG,2025.03.11 09:00:00,2025.03.11 09:44:58,2897.83,2895.93,1.32,1.900000000000091,-1.0,1,BROKER_SL_TP_OR_TEST_END,9,LONDON,Tuesday,2025-03,development,0.7494444444444445,5,1.9,1,0.010470788878753025,8,SOLO,BEARISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,COMPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741686300|1741686300,2,SweepReclaim_2R,1050,4,LONG,2025.03.11 10:00:00,2025.03.11 10:05:00,2895.97,2895.64,0.77,3.25,-0.10153846153843915,2,OWN_FAMILY_OPPOSITE,10,LONDON,Tuesday,2025-03,development,0.08333333333333333,1,3.25,2,0.006123260437375746,7,SOLO,BEARISH,WEAK,NORMAL,OPPOSED,COMPRESSION
